> EU\AF
167.171 -17.396
167.215 -17.521
167.245 -17.633
167.275 -17.759
167.320 -17.922
167.350 -18.022
167.394 -18.147
167.424 -18.247
167.455 -18.360
167.486 -18.486
167.504 -18.611
167.521 -18.712
167.607 -18.886
167.680 -19.048
167.727 -19.236
167.812 -19.372
167.886 -19.533
167.943 -19.632
168.003 -19.769
168.075 -19.893
168.160 -20.003
168.191 -20.090
168.263 -20.201
168.335 -20.325
168.396 -20.474
168.512 -20.646
168.585 -20.781
168.645 -20.893
168.705 -21.016
168.776 -21.101
168.879 -21.261
168.996 -21.420
169.054 -21.506
169.143 -21.640
169.215 -21.725
169.288 -21.823
169.320 -21.909
169.419 -21.980
169.491 -22.052
169.577 -22.124
169.719 -22.230
169.835 -22.350
169.950 -22.445
170.036 -22.516
170.109 -22.587
170.221 -22.644
170.321 -22.702
170.420 -22.759
170.547 -22.827
170.660 -22.884
170.745 -22.917
170.842 -22.949
170.939 -22.968
171.037 -23.000
171.162 -23.030
171.288 -23.072
171.385 -23.091
171.496 -23.110
171.620 -23.127
171.703 -23.146
171.854 -23.149
171.950 -23.155
172.060 -23.173
172.197 -23.176
172.278 -23.171
172.361 -23.177
172.439 -23.178
> CA/CO
-90.898 12.584
-90.293 12.543
-89.619 12.295
-88.920 11.999
-88.319 11.697
-87.890 11.397
-87.462 11.096
-86.975 10.547
-86.648 10.235
> CA/SA
-58.157 10.160
-57.762 10.634
-57.533 11.144
-57.424 11.661
-57.468 12.427
-57.568 13.102
-57.711 13.874
-57.791 14.499
-57.913 14.864
-58.288 15.150
-58.526 15.284
-58.666 15.412
-58.692 15.770
-58.801 15.991
-58.824 16.397
-59.088 16.912
-59.465 17.243
-59.819 17.548
-60.051 17.823
-60.278 18.191
-60.534 18.513
-60.729 18.595
-60.912 18.889
-61.553 18.959
> CO\NA
-90.898 12.584
-91.308 12.832
-91.719 13.080
-92.063 13.271
-92.272 13.223
-92.599 13.498
-92.962 13.722
-93.309 13.793
-93.656 14.016
-94.055 14.222
-94.542 14.479
-94.873 14.700
-95.117 14.887
-95.466 15.090
-95.799 15.276
-96.219 15.361
-96.727 15.360
-97.217 15.358
-97.691 15.508
-98.166 15.640
-98.588 15.771
-99.028 15.919
-99.435 16.134
-99.806 16.298
-100.336 16.442
-100.867 16.636
-101.703 17.026
-102.432 17.280
-103.200 17.615
-103.792 17.920
-104.191 18.138
-104.406 18.209
-104.725 18.368
-105.043 18.622
-105.247 18.762
> PA\OK
144.454 40.847
144.479 40.549
144.399 40.367
144.328 40.203
144.283 40.067
144.254 39.928
144.225 39.767
144.236 39.557
144.203 39.374
144.189 39.123
144.119 38.909
144.061 38.709
144.017 38.536
143.973 38.359
143.928 38.166
143.888 37.928
143.843 37.710
143.743 37.479
143.637 37.290
143.518 37.059
143.408 36.860
143.275 36.649
143.151 36.520
143.020 36.339
142.887 36.264
142.761 36.188
142.681 36.064
142.606 36.001
142.555 35.944
142.460 35.673
142.325 35.503
142.221 35.333
142.170 35.217
142.067 35.164
142.029 34.889
141.992 34.666
141.883 34.213
> JF\NA
-124.742 40.313
-124.953 40.633
-124.933 40.884
-125.089 41.135
-125.182 41.380
-125.309 41.652
-125.281 41.818
-125.313 41.986
-125.331 42.142
-125.290 42.285
-125.209 42.359
-125.198 42.492
-125.268 42.561
-125.289 42.862
-125.289 43.051
-125.343 43.143
-125.394 43.267
-125.474 43.426
-125.480 43.737
-125.450 43.925
-125.429 44.002
-125.362 44.066
-125.372 44.323
-125.372 44.523
-125.376 44.667
-125.434 44.725
-125.437 44.881
-125.435 45.104
-125.517 45.474
-125.655 45.946
-125.773 46.295
-125.876 46.643
-125.998 46.970
-126.085 47.350
-126.370 47.748
-126.486 47.996
-126.733 48.291
-127.018 48.565
-127.378 48.750
-127.608 48.877
-127.818 49.080
-127.852 49.491
-128.029 49.781
-128.283 49.885
-128.414 50.086
-128.719 50.310
-129.010 50.479
-129.460 50.647
-129.738 50.836
-129.982 51.101
-130.212 51.278
-130.548 51.398
-130.850 51.612
