network station location channel phase dist_min_res dist_max_res n_data mean std_dev coeff0 coeff1 coeff2 coeff3 year month day
BK CMB 00 BHZ P 3.8 96.42 551 0.86966061706 1.11719572594 0.212751088308 0.0178022886108 -0.000142103843976 3.92457657959e-07 2016 5 31
BK HUMO 00 BHZ P 2.34 98.02 401 1.16335910224 1.31952157835 0.0601932178206 0.0946984837859 -0.00218381640897 1.44342741458e-05 2016 5 31
BK MCCM 00 BHZ P 2.49 91.07 83 1.14612048193 1.22243516859 -0.490213967898 0.0768383516368 -0.000776160832942 8.69879394051e-07 2016 5 31
BK SAO 00 BHZ P 3.05 89.03 154 1.43761038961 1.22524657415 -0.227385923207 0.10611172539 -0.00147975028948 4.97374045201e-06 2016 5 31
BK WDC 00 BHZ P 1.53 94.4 362 0.49764640884 1.32152501802 -1.10722712244 0.0653171698496 -0.000967079126621 5.20892969544e-06 2016 5 31
C1 BO02 -- BHZ P 0.34 94.87 348 0.254281609195 1.46590700391 0.674371242908 -0.0799175224355 0.00146928546463 -5.58067937707e-06 2016 5 31
C1 CO02 -- BHZ P 0.44 92.95 160 -0.1616875 1.77913314412 -0.699186715224 0.0120538757897 -0.000596759075114 9.42587138996e-06 2016 5 31
C1 LL01 -- BHZ P 1.48 86.32 56 -0.177321428571 1.13768583468 -1.10723346894 0.15409971175 -0.00567894732916 5.16818151521e-05 2016 5 31
C1 LL02 -- BHZ P 2.3 96.09 147 0.524897959184 1.85224054155 0.228768045311 0.0256208184494 -0.00198230545427 2.24869270401e-05 2016 5 31
C1 MG02 -- BHZ P 4.98 95.73 89 0.979887640449 1.48701997173 1.52801952864 -0.0704089336298 0.00164349771613 -8.44171564074e-06 2016 5 31
C1 VA04 -- BHZ P 5.04 46.96 129 0.0413178294574 1.06343736581 0.984541257774 -0.19811840564 0.00939625350219 -0.000116092088988 2016 5 31
CI PHL -- BHZ P 2.6 94.17 110 1.45392727273 1.21282009458 -1.29547187162 0.152162746059 -0.00257770526888 1.40459139908e-05 2016 5 31
CN BBB -- BHZ P 2.83 93.6 71 0.886985915493 1.47348045208 -4.34166443736 0.325860629186 -0.00503638709956 2.21390519401e-05 2016 5 31
CN DAWY -- BHZ P 4.8 97.78 267 -0.0239325842697 1.21945564521 -0.982312749055 0.0138008058794 0.000759777488322 -9.47351673616e-06 2016 5 31
CN DRLN -- BHZ P 13.71 91.27 169 -0.201207100592 1.00827220127 -3.61414817961 0.198275489021 -0.00351344176039 1.94348259998e-05 2016 5 31
CN EUNU -- BHZ P 19.8 94.97 113 0.277380530973 0.931329448371 1.71873456114 -0.039109624047 -3.03348305207e-05 3.96582299628e-06 2016 5 31
CN FRB -- BHZ P 18.59 97.98 392 -0.466201530612 1.07893115514 5.45177259097 -0.310606265294 0.00494737468854 -2.42850743537e-05 2016 5 31
