event_id n event dist az channel stream loc time unc pol toang phase residual tot_wt dist_wt st_q_wt T50 Aref T50Ex Tdom s/n_HF s/n_BRB mB Mwp T0 Mwpd status
-1 436 -1 -1 -1 PN_PPPHS_--_BHZ BRB - 2003.05.21-19:16:40.30 0.050 0 -1.0 -1 -1 -1 -1 1.000 354.943 355.528 0.998 20.275 0.955 4.779 -9.000 -9.000 -1.000 -9.000 s/n_HF_low
1053544392321 434 4 11.71 14.8 II_BFO_00_BHZ HF L 2003.05.21-19:15:57.78 0.100 0 46.3 P -0.73 1.000 1.000 1.000 415.369 686.874 0.605 -1.000 3.692 1.311 -9.000 -9.000 46.879 -9.000 s/n_BRB_low
1053544392321 432 4 9.49 293.9 GE_MTE_--_BHZ HF L 2003.05.21-19:15:27.98 0.100 0 46.5 P -0.17 1.000 1.000 1.000 27.876 47.552 0.586 -1.000 6.500 0.439 -9.000 -9.000 13.718 -9.000 s/n_BRB_low
-1 430 -1 -1 -1 US_MIAR_--_BHZ BRB L 2003.05.21-19:15:10.95 0.075 -1 -1.0 -1 -1 -1 -1 1.000 0.000 43.012 0.000 -1.000 3.154 1.238 -9.000 -9.000 10.400 -9.000 s/n_BRB_low
1053543731406 428 2 88.53 317.3 CI_TIN_--_BHZ HF L 2003.05.21-19:14:59.65 0.100 0 14.4 P -3.76 0.582 0.582 1.000 455.009 263.584 1.726 -1.000 3.180 1.181 6.659 -9.000 68.800 -9.000 s/n_BRB_low
1053544392321 427 4 7.46 83.5 MN_CLTB_--_BHZ HF L 2003.05.21-19:14:57.94 0.100 -1 46.5 P -2.40 1.000 1.000 1.000 45.174 165.726 0.273 -1.000 6.009 1.124 5.321 -9.000 14.306 -9.000 s/n_BRB_low
1053543731406 426 2 84.85 323.3 UO_PIN_--_BHZ HF L 2003.05.21-19:14:47.75 0.080 1 15.4 P 2.17 0.608 0.608 1.000 7.761 24.129 0.322 -1.000 5.642 0.451 5.545 -9.000 13.720 -9.000 s/n_BRB_low
1053544392321 422 4 4.95 59.3 MN_VSL_--_BHZ HF L 2003.05.21-19:14:23.51 0.050 0 46.6 P -2.33 1.000 1.000 1.000 382.791 679.900 0.563 -1.000 16.454 0.946 -9.000 -9.000 90.050 -9.000 s/n_BRB_low
1053543731406 421 2 79.81 324.4 US_NEW_--_BHZ HF L 2003.05.21-19:14:19.48 0.300 -1 16.7 P 0.44 0.644 0.644 1.000 0.000 19.721 0.000 -1.000 4.028 0.701 -9.000 -9.000 11.425 -9.000 s/n_BRB_low
1053543731406 419 2 79.48 312.4 US_ISCO_--_BHZ HF L 2003.05.21-19:14:18.55 0.100 -1 16.7 P 0.98 0.647 0.647 1.000 3.568 11.162 0.320 -1.000 5.025 1.198 5.449 -9.000 12.075 -9.000 s/n_BRB_low
1053543731406 418 2 78.95 319.9 US_BOZ_--_BHZ HF L 2003.05.21-19:14:15.85 0.075 -1 16.9 P 1.39 0.650 0.650 1.000 0.000 18.699 0.000 -1.000 11.908 0.878 -9.000 -9.000 10.950 -9.000 s/n_BRB_low
1053543731406 417 2 78.38 235.0 US_WMOK_--_BHZ HF L 2003.05.21-19:14:11.28 0.100 -1 17.0 P 0.13 0.655 0.655 1.000 0.000 18.297 0.000 -1.000 9.259 1.273 -9.000 -9.000 10.800 -9.000 s/n_BRB_low
1053544392321 416 4 3.90 278.7 GE_CART_--_BHZ HF L 2003.05.21-19:14:10.21 0.050 1 46.6 P -1.11 1.000 1.000 1.000 335.591 236.706 1.418 -1.000 4.642 1.362 -9.000 -9.000 80.325 -9.000 s/n_BRB_low
