1053544392321 4 14 14 2.816 188.422 203.637 1.798 2003.05.21-19:13:12.32 37.100 3.861 28.87 10.94 11.41 0.367 9 0.000 0 0.000 GREY 5.156 5 -9.000 0 12.66 4 -9.000 0 Western_Mediterranean_Sea
1053543731406 2 37 37 2.902 143.794 146.545 1.983 2003.05.21-19:02:11.41 37.041 3.614 24.68 10.94 14.94 0.316 31 0.000 0 0.000 GREY 5.564 18 -9.000 0 11.71 16 -9.000 0 Western_Mediterranean_Sea
1053543075143 3 36 35 11.874 101.926 144.218 1.236 2003.05.21-18:51:15.60 36.963 3.688 22.42 17.19 21.56 0.267 35 34.598 1 0.000 GREY 6.026 26 -9.000 0 11.36 23 -9.000 1 Northern_Algeria
1053542661964 1 103 89 3.020 91.542 128.245 1.222 2003.05.21-18:44:22.42 36.904 3.762 24.59 10.94 14.29 0.469 87 7.256 37 3.400 GREEN 6.822 95 6.837 92 19.59 58 6.932 57 Northern_Algeria
