DK BSD -- BHZ 2015 105 6.359440e+08 1.000000 3
DK NEEM 10 BHZ 2015 105 6.309070e+08 0.200000 3
BK CMB 00 BHZ 2015 105 5.196240e+09 1.000000 3
II ESK 00 BHZ 2015 105 5.677570e+09 0.050000 3
II MBAR 00 BHZ 2015 105 3.750070e+09 0.050000 3
JP JCJ -- BHZ 2015 105 1.000000e+09 8.000000 3
JP JGF -- BHZ 2015 105 1.000000e+09 8.000000 3
JP JMN -- BHZ 2015 105 1.000000e+09 8.000000 3
II ASCN 00 BHZ 2015 105 3.726140e+09 0.050000 3
II PFO 00 BHZ 2015 105 5.286150e+09 0.050000 3
MX CCIG -- BHZ 2015 105 6.241430e+08 0.050000 3
MX HPIG -- BHZ 2015 105 6.257570e+08 0.050000 3
BK HUMO 00 BHZ 2015 105 2.595270e+09 1.000000 3
DK ANGG -- BHZ 2015 105 6.271920e+08 0.200000 3
DK DY2G 10 BHZ 2015 105 6.309070e+08 0.200000 3
DK NOR -- BHZ 2015 105 6.271920e+08 0.200000 3
DK NUUK 00 BHZ 2015 105 6.271920e+08 0.200000 3
MY SBM -- BHZ 2015 105 6.266460e+08 5.000000 3
HL RDO -- HHZ 2015 105 5.265480e+08 1.000000 3
JP JYT -- BHZ 2015 105 1.000000e+09 8.000000 3
II EFI 00 BHZ 2015 105 3.666300e+09 0.050000 3
II WRAB 00 BHZ 2015 105 3.799600e+09 0.050000 3
II BRVK 00 BHZ 2015 105 4.110770e+09 0.050000 3
II COCO 00 BHZ 2015 105 3.598470e+09 0.050000 3
II SACV 00 BHZ 2015 105 3.758050e+09 0.050000 3
II SHEL 00 BHZ 2015 105 3.750070e+09 0.050000 3
LX GGNV -- BHZ 2015 105 3.355440e+08 0.100000 3
II ARU 00 BHZ 2015 105 3.873060e+09 0.050000 3
II ERM 00 BHZ 2015 105 2.918590e+09 0.050000 3
CN BBB -- BHZ 2015 105 5.057420e+09 0.200000 3
CN KAPO -- BHZ 2015 105 5.001690e+09 0.300000 3
CN MNTQ -- BHZ 2015 105 1.697120e+09 0.200000 3
MX MOIG -- BHZ 2015 105 6.311860e+08 0.050000 3
CN SADO -- BHZ 2015 105 5.057420e+09 0.200000 3
CN ULM -- BHZ 2015 105 5.057420e+09 0.200000 3
DK ISOG -- BHZ 2015 105 6.271920e+08 0.200000 3
DK SCO -- BHZ 2015 105 6.271920e+08 0.200000 3
MY KUM -- BHZ 2015 105 6.266460e+08 5.000000 3
MY LDM -- BHZ 2015 105 6.266460e+08 5.000000 3
MX SRIG -- BHZ 2015 105 6.257570e+08 0.050000 3
DK TULEG -- BHZ 2015 105 6.271920e+08 0.200000 3
MN RTC -- BHZ 2015 105 1.065600e+09 0.020000 3
IV SALO -- BHZ 2015 105 4.804000e+08 1.000000 3
MN TIP -- BHZ 2015 105 7.765020e+08 0.020000 3
MN TIR -- BHZ 2015 105 6.000000e+08 1.000000 3
MN TRI -- BHZ 2015 105 9.693940e+08 0.020000 3
MN TUE -- BHZ 2015 105 6.329340e+08 0.020000 3
MN VLC -- BHZ 2015 105 6.155070e+08 0.020000 3
MN VSL -- BHZ 2015 105 1.261330e+09 0.020000 3
MN VTS -- BHZ 2015 105 1.003120e+09 0.020000 3
MN AQU -- BHZ 2015 105 7.787180e+08 0.020000 3
MN BNI -- BHZ 2015 105 6.340820e+08 0.020000 3
IV BOB -- BHZ 2015 105 1.500000e+09 0.200000 3
MN CEL -- BHZ 2015 105 6.341840e+08 0.020000 3
MN CLTB -- BHZ 2015 105 7.602080e+08 0.020000 3
MN DIVS -- BHZ 2015 105 1.086240e+09 0.020000 3
GE TIRR -- BHZ 2015 105 5.880000e+08 0.020000 3
GE TNTI -- BHZ 2015 105 6.291400e+08 0.020000 3
GE VAL -- BHZ 2015 105 8.000000e+08 0.100000 3
GE VOI -- BHZ 2015 105 2.516580e+09 0.020000 3
GE VSU -- BHZ 2015 105 5.880000e+08 0.020000 3
GE WLF -- BHZ 2015 105 6.031800e+08 0.020000 3
GE APE -- BHZ 2015 105 5.880000e+08 0.020000 3
