AK BESE -- BHZ 2010 58 5.741264e+08 0.150000 3
AK COLD -- BHZ 2010 58 6.313203e+08 0.150000 3
AK FALS -- BHZ 2010 58 2.515391e+09 0.150000 3
AK HOM -- BHZ 2010 58 4.996157e+08 0.150000 3
AK KLU -- BHZ 2010 58 5.032785e+08 0.150000 3
AK KTH -- BHZ 2010 58 5.032785e+08 0.150000 3
AK SCRK -- BHZ 2010 58 6.271286e+08 0.150000 3
AK SKN -- BHZ 2010 58 6.271286e+08 0.150000 3
AK SPIA -- BHZ 2010 58 5.675328e+08 0.150000 3
AK TNA -- BHZ 2010 58 4.314385e+08 0.150000 3
AT AKUT -- BHZ 2010 58 6.293789e+08 0.150000 3
AT CRAG -- BHZ 2010 58 6.293789e+08 0.150000 3
AT MID -- BHZ 2010 58 6.293789e+08 0.150000 3
AT SVW2 -- BHZ 2010 58 6.293789e+08 0.150000 3
AU BBOO -- BHZ 2010 58 2.517033e+09 0.150000 3
AU CNB -- BHZ 2010 58 2.517033e+09 0.150000 3
AU FORT -- BHZ 2010 58 1.618777e+08 0.150000 3
AU GIRL -- BHZ 2010 58 3.370436e+09 0.150000 3
AU LHI -- BHZ 2010 58 2.517033e+09 0.150000 3
AU MANU -- BHZ 2010 58 2.517041e+09 0.150000 3
AU MEEK -- BHZ 2010 58 2.517033e+09 0.150000 3
AU WB0 -- BHZ 2010 58 1.979188e+10 0.150000 3
AU XMIS -- BHZ 2010 58 2.517033e+09 0.150000 3
AU YNG -- BHZ 2010 58 3.030866e+08 0.150000 3
AV OKFG -- BHZ 2010 58 4.088535e+09 0.150000 3
AZ BZN -- BHZ 2010 58 6.292210e+08 0.150000 3
CH SENIN -- BHZ 2010 58 5.907707e+08 0.150000 3
CI FUR -- BHZ 2010 58 6.142052e+08 0.150000 3
CI PDM -- BHZ 2010 58 7.752154e+08 0.150000 3
CI RCT -- BHZ 2010 58 4.113269e+08 0.150000 3
CN RES -- BHZ 2010 58 4.880995e+09 0.150000 3
CO JSC 00 BHZ 2010 58 9.389451e+08 0.150000 3
CU BBGH 00 BHZ 2010 58 2.517531e+09 0.150000 3
CU BCIP 00 BHZ 2010 58 2.517531e+09 0.150000 3
CU GRGR 00 BHZ 2010 58 2.517531e+09 0.150000 3
CU GRTK 00 BHZ 2010 58 2.517531e+09 0.150000 3
CU GTBY 00 BHZ 2010 58 2.517531e+09 0.150000 3
G DZM 00 BHZ 2010 58 7.996486e+08 0.150000 3
G FDF 00 BHZ 2010 58 2.554216e+09 0.150000 3
G FOMA 00 BHZ 2010 58 2.554429e+09 0.150000 3
G HDC 00 BHZ 2010 58 2.554435e+09 0.150000 3
G INU 00 BHZ 2010 58 3.886516e+09 0.150000 3
G TAM 00 BHZ 2010 58 3.897830e+09 0.150000 3
G TRIS 00 BHZ 2010 58 9.751728e+08 0.150000 3
G UNM 00 BHZ 2010 58 4.105924e+09 0.150000 3
GB DYA -- BHZ 2010 58 4.782964e+08 0.150000 3
GB LRW -- BHZ 2010 58 2.306948e+09 0.150000 3
GE TIRR -- BHZ 2010 58 5.967453e+08 0.150000 3
GE UGM -- BHZ 2010 58 6.384972e+08 0.150000 3
GT LPAZ 00 BHZ 2010 58 7.617750e+09 0.150000 3
GT PLCA 00 BHZ 2010 58 6.956668e+09 0.150000 3
GT VNDA 00 BHZ 2010 58 7.606384e+09 0.150000 3
HK HKPS -- BHZ 2010 58 2.508519e+09 0.150000 3
IC BJT 00 BHZ 2010 58 1.006837e+09 0.150000 3
IC ENH 00 BHZ 2010 58 1.006837e+09 0.150000 3
IC LSA 00 BHZ 2010 58 7.566963e+08 0.150000 3
IC MDJ 00 BHZ 2010 58 1.005237e+09 0.150000 3
II ABPO 00 BHZ 2010 58 2.429164e+09 0.150000 3
II ARU 00 BHZ 2010 58 1.713477e+09 0.150000 3
II ASCN 00 BHZ 2010 58 3.811786e+09 0.150000 3
II EFI 10 BHZ 2010 58 2.520990e+09 0.150000 3
II ESK 00 BHZ 2010 58 5.730071e+09 0.150000 3
II HOPE 00 BHZ 2010 58 1.050775e+09 0.150000 3
II JTS 00 BHZ 2010 58 5.277645e+09 0.150000 3
II KAPI 00 BHZ 2010 58 3.955246e+09 0.150000 3
II KDAK 00 BHZ 2010 58 2.139617e+09 0.150000 3
II KIV 00 BHZ 2010 58 1.362122e+09 0.150000 3
II LVZ 00 BHZ 2010 58 1.790141e+09 0.150000 3
II NNA 00 BHZ 2010 58 2.283954e+09 0.150000 3
II OBN 00 BHZ 2010 58 1.641978e+09 0.150000 3
II RAYN 00 BHZ 2010 58 1.645499e+10 0.150000 3
II SHEL 00 BHZ 2010 58 1.575851e+09 0.150000 3
II TLY 00 BHZ 2010 58 1.610210e+09 0.150000 3
IU ANTO 00 BHZ 2010 58 1.017730e+09 0.150000 3
IU BBSR 00 BHZ 2010 58 3.402139e+10 0.150000 3
IU BILL 00 BHZ 2010 58 1.027842e+09 0.150000 3
IU CHTO 00 BHZ 2010 58 4.058578e+09 0.150000 3
IU COR 00 BHZ 2010 58 5.846017e+09 0.150000 3
IU DAV 00 BHZ 2010 58 1.050498e+09 0.150000 3
IU DWPF 00 BHZ 2010 58 9.865795e+08 0.150000 3
IU GNI 00 BHZ 2010 58 1.070123e+09 0.150000 3
IU GUMO 00 BHZ 2010 58 3.835318e+09 0.150000 3
IU INCN 00 BHZ 2010 58 4.466872e+09 0.150000 3
IU KBL -- BHZ 2010 58 2.537411e+09 0.150000 3
IU KEV 00 BHZ 2010 58 3.891510e+09 0.150000 3
IU KIP 00 BHZ 2010 58 9.741495e+08 0.150000 3
IU KMBO 00 BHZ 2010 58 1.040475e+09 0.150000 3
IU LVC 00 BHZ 2010 58 4.279358e+09 0.150000 3
IU MBWA 00 BHZ 2010 58 9.957017e+08 0.150000 3
IU OTAV 00 BHZ 2010 58 4.305354e+09 0.150000 3
IU PAB 00 BHZ 2010 58 5.949442e+09 0.150000 3
IU PET 00 BHZ 2010 58 1.061410e+09 0.150000 3
IU PMSA 00 BHZ 2010 58 1.038755e+09 0.150000 3
IU POHA 00 BHZ 2010 58 1.005014e+09 0.150000 3
IU PTCN 00 BHZ 2010 58 6.343074e+08 0.150000 3
IU RCBR 00 BHZ 2010 58 3.953974e+09 0.150000 3
IU SAML 00 BHZ 2010 58 3.891978e+09 0.150000 3
IU SBA 00 BHZ 2010 58 8.377845e+09 0.150000 3
IU SDV 00 BHZ 2010 58 5.723229e+09 0.150000 3
IU SFJD 00 BHZ 2010 58 4.007004e+09 0.150000 3
IU TARA 00 BHZ 2010 58 3.406110e+10 0.150000 3
IU TEIG 00 BHZ 2010 58 1.023734e+09 0.150000 3
IU TIXI 00 BHZ 2010 58 1.088256e+09 0.150000 3
IU TRQA 00 BHZ 2010 58 3.749718e+09 0.150000 3
IU ULN 00 BHZ 2010 58 1.064761e+09 0.150000 3
IU YAK 00 BHZ 2010 58 1.070632e+09 0.150000 3
