GE SOCY 12.187030 53.987419 804.000000 2016 8 5 -- BHZ 0.000000 -90.000000
GE VAL 51.939400 -10.244200 14.000000 2016 8 5 -- BHZ 0.000000 -90.000000
GE FLT1 52.330601 11.237200 0.000000 2016 8 5 -- BHZ 0.000000 -90.000000
GE MNAI -4.360500 102.955704 154.000000 2016 8 5 -- BHZ 0.000000 -90.000000
GE LHMI 5.228800 96.947197 3.000000 2016 8 5 -- BHZ 0.000000 -90.000000
GE PMBI -2.902400 104.699303 25.000000 2016 8 5 -- BHZ 0.000000 -90.000000
WM CART 37.586800 -1.001200 65.000000 2016 8 5 -- BHZ 0.000000 -90.000000
G RER -21.171200 55.739860 834.000000 2016 8 5 00 BHZ 0.000000 -90.000000
G CLF 48.025790 2.260000 145.000000 2016 8 5 00 BHZ 0.000000 -90.000000
G CAN -35.318715 148.996325 700.000000 2016 8 5 00 BHZ 0.000000 -90.000000
G TAOE -8.854920 -140.147750 800.000000 2016 8 5 00 BHZ 0.000000 -90.000000
G INU 35.350000 137.029000 132.000000 2016 8 5 00 BHZ 0.000000 -90.000000
G FDF 14.734971 -61.146311 467.000000 2016 8 5 00 BHZ 0.000000 -90.000000
G PPTF -17.589600 -149.565250 705.000000 2016 8 5 00 BHZ 0.000000 -90.000000
G CRZF -46.430000 51.861000 140.000000 2016 8 5 00 BHZ 0.000000 -90.000000
G TAM 22.791490 5.528380 1410.000000 2016 8 5 00 BHZ 0.000000 -90.000000
CU GRGR 12.132400 -61.654000 195.000000 2016 8 5 00 BHZ 0.000000 -90.000000
GT BOSA -28.614100 25.255530 1180.000000 2016 8 5 00 BHZ 0.000000 -90.000000
CU BCIP 9.166500 -79.837300 61.000000 2016 8 5 00 BHZ 0.000000 -90.000000
IU DAV 7.069700 125.579100 149.000000 2016 8 5 00 BHZ 0.000000 -90.000000
IU JOHN 16.732900 -169.529200 2.500000 2016 8 5 00 BHZ 0.000000 -90.000000
IU MIDW 28.215600 -177.369800 19.000000 2016 8 5 00 BHZ 0.000000 -90.000000
US DUG 40.195000 -112.813300 1477.000000 2016 8 5 00 BHZ 0.000000 -90.000000
IU KOWA 14.496700 -4.014000 316.300000 2016 8 5 00 BHZ 0.000000 -90.000000
IU SDV 8.883900 -70.634000 1588.000000 2016 8 5 00 BHZ 0.000000 -90.000000
IU GUMO 13.589300 144.868400 61.000000 2016 8 5 00 BHZ 0.000000 -90.000000
IU TIXI 71.634100 128.866700 40.000000 2016 8 5 00 BHZ 0.000000 -90.000000
US EGMT 48.024000 -109.754700 1055.000000 2016 8 5 00 BHZ 0.000000 -90.000000
GS OK025 35.581100 -97.337900 348.000000 2016 8 5 00 HHZ 0.000000 -90.000000
US GLMI 44.824500 -84.617500 387.000000 2016 8 5 00 BHZ 0.000000 -90.000000
US JFWS 42.914200 -90.248100 335.000000 2016 8 5 00 BHZ 0.000000 -90.000000
MX ZAIG 22.769200 -102.567000 2408.000000 2016 8 5 -- BHZ 0.000000 -90.000000
JP JMZ 25.819830 131.223670 50.000000 2016 8 5 -- BHZ 0.000000 -90.000000
KO BNN 38.852200 35.847200 1380.000000 2016 8 5 -- BHZ 0.000000 -90.000000
AF POGA -27.346000 31.707000 290.000000 2016 8 5 -- BHZ 0.000000 -90.000000
C GO06 -39.583900 -71.472000 1258.000000 2016 8 5 -- BHZ 0.000000 -90.000000
UW BRAN 45.973400 -117.227700 1136.000000 2016 8 5 -- BHZ 0.000000 -90.000000
AU KDU -12.686900 132.472700 46.000000 2016 8 5 -- BHZ 0.000000 -90.000000
AU TOO -37.571400 145.490600 604.000000 2016 8 5 -- BHZ 0.000000 -90.000000
GB MCH1 51.997330 -2.998330 219.000000 2016 8 5 -- BHZ 0.000000 -90.000000
GE HLG 54.184700 7.883900 41.000000 2016 8 5 -- BHZ 0.000000 -90.000000
GE SLIT 57.628700 22.290501 15.000000 2016 8 5 -- BHZ 0.000000 -90.000000
WM AVE 33.298100 -7.413300 230.000000 2016 8 5 -- BHZ 0.000000 -90.000000
GE GENI -2.592700 140.167800 47.000000 2016 8 5 -- BHZ 0.000000 -90.000000
GE MTE 40.399700 -7.544200 815.000000 2016 8 5 -- BHZ 0.000000 -90.000000
GE SBV -13.458400 49.921200 65.000000 2016 8 5 -- BHZ 0.000000 -90.000000
GE VOI -22.026000 46.705900 993.000000 2016 8 5 -- BHZ 0.000000 -90.000000
GE TIRR 44.458099 28.412800 77.000000 2016 8 5 -- BHZ 0.000000 -90.000000
GE MMRI -8.635700 122.237602 137.000000 2016 8 5 -- BHZ 0.000000 -90.000000
G ECH 48.216313 7.158961 580.000000 2016 8 5 00 BHZ 0.000000 -90.000000
G DZM -22.071640 166.443770 878.000000 2016 8 5 00 BHZ 0.000000 -90.000000
IU BBSR 32.371299 -64.696299 -1.300000 2016 8 5 00 BHZ 0.000000 -90.000000
CU ANWB 17.668530 -61.785570 39.000000 2016 8 5 00 BHZ 0.000000 -90.000000
CU GTBY 19.926800 -75.110800 79.200000 2016 8 5 00 BHZ 0.000000 -90.000000
US WRAK 56.419100 -132.346600 80.900000 2016 8 5 00 BHZ 0.000000 -90.000000
US KVTX 27.545900 -97.892900 14.600000 2016 8 5 00 BHZ 0.000000 -90.000000
US GOGA 33.411200 -83.466600 83.000000 2016 8 5 00 BHZ 0.000000 -90.000000
IU FURI 8.895200 38.679800 2565.000000 2016 8 5 00 BHZ 0.000000 90.000000
IU KONO 59.649100 9.598200 -124.000000 2016 8 5 00 BHZ 0.000000 -90.000000
IU SSPA 40.635800 -77.887600 170.000000 2016 8 5 00 BHZ 0.000000 -90.000000
IC MDJ 44.617630 129.593410 240.000000 2016 8 5 00 BHZ 0.000000 -90.000000
IC ENH 30.276200 109.494400 500.000000 2016 8 5 00 BHZ 0.000000 -90.000000
CU MTDJ 18.226050 -77.534540 925.000000 2016 8 5 00 BHZ 0.000000 -90.000000
IU WAKE 19.283400 166.652000 18.000000 2016 8 5 00 BHZ 0.000000 -90.000000
US SCIA 41.906900 -93.215300 311.500000 2016 8 5 00 BHZ 0.000000 -90.000000
MY KOM 1.792200 103.846700 49.000000 2016 8 5 -- BHZ 0.000000 -90.000000
